mean_dom mean_bent mean_int1 stderr_dom stderr_bent stderr_int1 p_d_b p_b_i p_d_i
Thigh 0.1795195051276543 0.12310116389770771 0.11947018336159476 0.00428537337879425 0.0022820545801032085 0.003915935761037886 8.452332167507848e-10 0.43350882005664015 5.291658888850748e-09
E3 0.4750729112714122 0.06097542348027603 0.11553169959781184 0.05184796612473682 0.003459888656774454 0.010022430810949865 2.589744763081825e-07 6.784105381796302e-05 2.246999316168896e-06
E4 0.5404667759514746 0.09343404016749653 0.14946970765696982 0.0881667898698811 0.006182801543505752 0.009327684607333568 8.192281558239145e-05 9.138181343648633e-05 0.00033780993883603117
E1 0.5883094364402367 0.35850395224387993 0.2568123788917248 0.048401059421659405 0.022737297492109385 0.032969659722507136 0.0004336047938386933 0.020561481705529516 2.2755186428247143e-05
E2 0.7065564038308201 0.170818796450879 0.23009912249145903 0.03674197678000081 0.017259765792150755 0.027606340581281717 1.0755596413503099e-10 0.08530806810574343 5.11136621916819e-09
Hybrid 0.1325527672478636 0.07074093835918023 0.06561043176384036 0.011628154444307532 0.0018076649136499155 0.0010074962676930898 5.391516348152159e-05 0.02329522149495422 1.946181097856048e-05
Calf_2 0.19735875214736603 0.1168980647257285 0.14072336207628197 0.010514132780810686 0.0014993357591875538 0.005103715375050923 5.275551566708003e-07 0.00029016571131790236 0.00012975160594463908
Beta_Propeller 0.08542814518584103 0.08445082431557485 0.07954467244620037 0.0016042661440279324 0.001831530621903538 0.0018456885646545977 0.6928515061985538 0.07541972839662714 0.027097532641498612
Psi 0.27072786901377754 0.18419321619625542 0.1597898815509997 0.025340813421018415 0.009654167350812568 0.005531042603155194 0.005060540037387096 0.04166127738116976 0.0004535125796145678
Beta_T 0.1890525103512568 0.14634486855186285 0.09371027160771579 0.012232354516732696 0.02146995498501466 0.0026467750831389034 0.10104143461000015 0.02562017078356038 4.884564783758094e-07
Calf_1 0.11636020508595216 0.08415338111468759 0.07331177493155454 0.003374842141785452 0.002586511690984827 0.0019930220232902856 5.289995794743874e-07 0.0038072121490282385 2.0695063440712147e-09
Beta_I 0.12948987334145567 0.11263620978082271 0.08891555954227456 0.009921591139452866 0.007485307349088116 0.002723131494937856 0.19185240255434155 0.0080614822152405 0.0009521465266484341
