# template mean std.dev. neff
Beta_Propeller 0.8445082431557486 0.057918083695598574 10
Thigh 1.231011638977077 0.07216490217945308 10
Calf_1 0.841533811146876 0.08179268138165659 10
Calf_2 1.168980647257285 0.047413159763703985 10
Psi 1.8419321619625542 0.3052915774100153 10
Hybrid 0.7074093835918023 0.05716338373505331 10
Beta_I 1.1263620978082272 0.23670620209515542 10
E1 3.5850395224387994 0.7190164791190002 10
E2 1.7081879645087898 0.5458017178425673 10
E3 0.6097542348027603 0.10941128605987839 10
E4 0.9343404016749652 0.19551735198282813 10
Beta_T 1.4634486855186286 0.6789395901393259 10
