# template mean std.dev. neff
Beta_Propeller 0.8542814518584103 0.050731349882239984 10
Thigh 1.7951950512765429 0.1355154050124134 10
Calf_1 1.1636020508595215 0.10672187911562941 10
Calf_2 1.9735875214736605 0.3324860720880167 10
Psi 2.7072786901377754 0.8013468817178159 10
Hybrid 1.325527672478636 0.3677145302822136 10
Beta_I 1.2948987334145567 0.31374826013616336 10
E1 5.883094364402367 1.530575889375958 10
E2 7.065564038308201 1.1618833236182189 10
E3 4.750729112714122 1.6395766500142215 10
E4 5.404667759514746 2.7880786997428477 10
Beta_T 1.890525103512568 0.3868210141952358 10
