# template mean std.dev. neff
Beta_Propeller 0.7954467244620036 0.05836579715635476 10
Thigh 1.1947018336159476 0.1238327617578457 10
Calf_1 0.7331177493155454 0.06302489020474454 10
Calf_2 1.4072336207628198 0.16139365114381415 10
Psi 1.5978988155099971 0.1749069246139723 10
Hybrid 0.6561043176384036 0.031859829400288794 10
Beta_I 0.8891555954227457 0.08611297892142905 10
E1 2.568123788917248 1.0425921840383752 10
E2 2.3009912249145903 0.8729891409918693 10
E3 1.1553169959781184 0.3169370905405001 10
E4 1.494697076569698 0.29496728654867405 10
Beta_T 0.9371027160771579 0.08369837716900459 10
